"","CC1_058_W","CC1_059_W","CC1_060_W","CC1_881_S","CC1_883_I","CC1_884_T","CC1_885_T","CC1_886_T","CC1_890_S","CC1_894_P","CC1_895_T","CC1_899_I","CC1_901_T","CC1_906_P","CC1_907_S","CC1_910_I","CC1_912_S","CC1_917_I","CC1_919_I","CC1_920_T","CC1_921_P","CC1_922_I","CC1_923_S","CC1_924_I","CC2_882_S","CC2_889_S","CC2_911_S","CM1_057_W","CM1_058_W","CM1_059_W","CM1_060_W","CM1_882_S","CM1_883_I","CM1_884_T","CM1_885_T","CM1_889_S","CM1_894_P","CM1_895_T","CM1_899_I","CM1_901_T","CM1_906_P","CM1_907_S","CM1_910_I","CM1_911_S","CM1_917_I","CM1_919_I","CM1_920_T","CM1_921_P","CM1_922_I","CM1_923_S","CM1_924_I","CM2_890_S","CM2_912_S"
"Otu01037",0.0362976406533575,0.0276421266009398,0.0287026406429392,0,0,0,0,0,0.00896378630333453,0,0,0,0,0,0.0269590222861251,0,0,0,0,0,0,0,0,0,0,0,0,0.0179340028694405,0.0276115968706857,0,0,0,0,0,0,0,0,0,0,0,0,0.0275938189845475,0,0,0,0,0,0,0,0,0,0,0
"Otu05150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089863407620417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00435",0.136116152450091,0.0184280844006266,0.0765403750478377,0,0.00901388137732108,0.0360750360750361,0,0,0,0,0.0367647058823529,0,0.00904159132007233,0.0544365813826892,0,0.0555298472929199,0.0092910898448388,0,0.0269323996768112,0,0,0,0,0,0,0,0,0.412482065997131,0.0736309249884952,0.0183301255613601,0.0817810086324398,0,0.00910995718320124,0.0181011856276586,0,0.0552638850511191,0,0.0726810211683474,0,0.00909421607857403,0.0904240889773036,0.0183958793230316,0.0811249323958897,0,0,0.0996557347345534,0,0,0,0,0,0.0451956973696104,0.0269179004037685
"Otu01157",0,0.0368561688012531,0,0,0,0,0,0,0,0,0,0,0,0.0272182906913446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896700143472023,0,0.0183301255613601,0.00908677873693776,0,0,0,0,0,0,0,0,0,0.0632968622841125,0,0,0,0,0,0,0,0,0,0,0,0
"Otu10445",0,0,0,0,0,0,0,0,0,0,0,0,0.00904159132007233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05201",0,0.00921404220031328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00613",0.163339382940109,0.0460702110015664,0.0478377344048986,0.00899685110211426,0,0,0,0,0.0268913589100036,0,0,0,0,0.00907276356378153,0.0269590222861251,0,0,0,0,0,0,0,0,0,0,0,0,0.0538020086083214,0.202485043718362,0.0183301255613601,0.0454338936846888,0,0,0,0,0.00921064750851985,0,0,0,0,0.00904240889773036,0.0275938189845475,0,0,0,0,0,0,0,0,0,0.21693934737413,0
"Otu00878",0.0907441016333938,0.0552842532018797,0.0956754688097972,0,0,0,0,0,0.0179275726066691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179340028694405,0.0552231937413714,0.0183301255613601,0.0454338936846888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903913947392208,0
"Otu00972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092910898448388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919793966151582,0,0.0908017797148824,0,0,0,0,0,0,0,0,0.206370569762225
"Otu01388",0.0635208711433757,0.00921404220031328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276115968706857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu01519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538020086083214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00427",0.136116152450091,0.0829263798028195,0.411404515882128,0,0,0,0,0,0,0,0,0,0,0.0272182906913446,0,0,0,0.00916590284142988,0.0628422659125595,0.135820354943861,0,0,0,0,0,0,0,0.152439024390244,0.101242521859181,0.0916506278068005,0.372557928214448,0,0,0,0.0180391449445296,0,0,0,0.0091533180778032,0,0.0271272266931911,0,0,0,0.0181110205560083,0.199311469469107,0.226490306214894,0,0,0,0,0.0451956973696104,0.0179452669358457
"Otu00295",0.0725952813067151,0.53441444761817,0.277458859548412,0,0,0,0,0,0.0358551452133381,0.00903668895716609,0,0.0449115242971346,0,0.0998003992015968,0.0269590222861251,0.0647848218417399,0,0,0,0.108656283955089,0,0.0542986425339367,0,0,0.348495964783566,0,0,0.0448350071736012,0.0460193281178095,0.329942260104482,0.318037255792821,0.355612291419714,0,0,0,0,0,0,0.0366132723112128,0,0.144678542363686,0.0735835172921266,0.0901388137732107,0.036320711885953,0,0,0.117774959231745,0,0.0543183052688756,0,0,0.144626231582753,0.0897263346792283
"Otu06332",0.00907441016333938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00717",0.00907441016333938,0.193494886206579,0.181783390738615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916506278068005,0.127214902317129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
