Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
All,IBA_Torpor,0.02112483,Otu00020,0.141382481,0.299123265,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.013470281,0.020096771,0.030172596,0.03564347
All,SummerLab_Spring,0.022752936,Otu00031,0.143270481,0.30063314,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.038335955,0.085266933,0,0
All,SummerWild_IBA,0.014552172,Otu00013,0.145360996,0.302539959,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.000548596,0.000619619,0.026229039,0.038092367
Summer_Lab,Female_Male,0.036951256,Otu00031,0.14925661,0.306936043,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.060242215,0.102848373,0,0
All,IBA_Spring,0.060186871,Otu00018,0.149871115,0.306936043,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.000649564,0.001757889,0.106845255,0.116218789
All,SummerWild_SummerLab,0.013955642,Otu00019,0.154008234,0.310922524,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.000567534,0.000523295,0.023977056,0.026640298
All,Torpor_Spring,0.016064483,Otu00020,0.154246721,0.310922524,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.030172596,0.03564347,0.004575681,0.005707475
All,SummerLab_Spring,0.018740412,Otu00003,0.160629522,0.321259044,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.026281412,0.033493043,0.012653037,0.033373294
All,SummerWild_Spring,0.058679106,Otu00018,0.16219753,0.32188037,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.00177889,0.002854276,0.106845255,0.116218789
Summer_Wild,Male_Female,0.010233081,Otu00102,0.164914823,0.324755343,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotella_9,0.016833083,0.018094595,0.001830837,0.000455399
