Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
SummerWild_IBA,0.029934451,Otu00010,0.792848983,0.892507368,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.004447253,0.007599524,0.051384322,0.124883808
SummerWild_IBA,0.015074746,Otu00004,0.79541806,0.892507368,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.004833603,0.006657689,0.027437959,0.037391355
SummerWild_IBA,0.011527158,Otu00008,0.79541806,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.001893754,0.001992882,0.021110482,0.036604424
SummerWild_IBA,0.01134885,Otu00006,0.786457035,0.892507368,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.000980072,0.000891922,0.020530978,0.048501023
SummerWild_IBA,0.01046765,Otu00035,0.777297411,0.892507368,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.005952948,0.007964302,0.016912795,0.033838866
SummerLab_IBA,0.012274585,Otu00008,0.773884765,0.892507368,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004195741,0.005462897,0.021110482,0.036604424
SummerLab_IBA,0.011169663,Otu00017,0.830094265,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.007073957,0.008410123,0.018728398,0.033278838
SummerLab_Torpor,0.045825032,Otu00010,0.807210392,0.892507368,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - Erysipelatoclostridium,0.007049883,0.006521189,0.076442411,0.145687578
SummerLab_Torpor,0.040762111,Otu00022,0.728812371,0.892507368,Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group,0.021964202,0.049417424,0.056076006,0.124473115
SummerLab_Spring,0.011865379,Otu00015,0.776318561,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotella_9,0.01652846,0.027726941,0.013462723,0.014092947
IBA_Torpor,0.038105115,Otu00049,0.81637477,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.006712939,0.014667475,0.054020425,0.120793342
IBA_Torpor,0.022819655,Otu00035,0.81637477,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.016912795,0.033838866,0.024568362,0.054936528
IBA_Spring,0.01863508,Otu00132,0.8280633,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.002064203,0.003856155,0.032326466,0.064261017
IBA_Spring,0.015635749,Otu00034,0.825893995,0.892507368,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.027673667,0.063272711,0.002770845,0.003287162
IBA_Spring,0.012990515,Otu00006,0.820089851,0.892507368,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Faecalibacterium,0.020530978,0.048501023,0.004611034,0.009066376
IBA_Spring,0.012683807,Otu00003,0.740625178,0.892507368,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_UCG-005,0.001220063,0.001827881,0.022142814,0.044129125
Torpor_Spring,0.014438151,Otu00017,0.806495941,0.892507368,Proteobacteria - Alphaproteobacteria - Rickettsiales - Rickettsiales_Incertae_Sedis - uncultured,0.026429895,0.053065299,0.002469508,0.001773173
SummerWild_Torpor,0.031110332,Otu00049,0.845252024,0.902022683,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.001913647,0.003314533,0.054020425,0.120793342
SummerLab_IBA,0.011561836,Otu00035,0.861484432,0.906760954,Proteobacteria - Gammaproteobacteria - Enterobacteriales - Enterobacteriaceae - Enterobacteriaceae_unclassified,0.007487208,0.012805299,0.016912795,0.033838866
SummerLab_Torpor,0.029804612,Otu00001,0.862374055,0.906760954,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004682408,0.00785834,0.049520702,0.070020402
Torpor_Spring,0.030696679,Otu00001,0.898211943,0.937549693,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.049520702,0.070020402,0.025093193,0.028654629
SummerLab_Torpor,0.017230176,Otu00035,0.915120592,0.948277135,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.007487208,0.012805299,0.024568362,0.054936528
IBA_Torpor,0.036330785,Otu00011,0.927099062,0.953778171,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.042234977,0.053323936,0.053076389,0.056144043
SummerLab_Torpor,0.019350326,Otu00031,1,1,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.03292386,0.086327286,4.70E-05,6.43E-05
SummerLab_Torpor,0.016440233,Otu00017,1,1,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.007073957,0.008410123,0.026429895,0.053065299
IBA_Spring,0.029752561,Otu00010,1,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.051384322,0.124883808,0.003255867,0.004534386
Torpor_Spring,0.014017089,Otu00035,1,1,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.024568362,0.054936528,0.000322505,0.00064501
